TICKER,PER,Date,TIME,Open,High,Low,Close,Total Trade Quantity,Turnover (Lacs)
ddam-D1,D1,20190615,000000,8934,9373,8482,9373,4465741,0
ddam-D1,D1,20190616,000000,9559,9570,8659,8659,12735463,0
ddam-D1,D1,20190617,000000,8682,8844,8682,8682,2348288,0
ddam-D1,D1,20190618,000000,8250,8250,8250,8250,281165,0
ddam-D1,D1,20190619,000000,7936,7936,7936,7936,215745,0
ddam-D1,D1,20190622,000000,7703,7703,7703,7703,84748,0
ddam-D1,D1,20190623,000000,7615,7615,7615,7615,493950,0
ddam-D1,D1,20190624,000000,7441,7995,7441,7995,3735008,0
ddam-D1,D1,20190625,000000,8207,8207,7566,7680,7969369,0
ddam-D1,D1,20190626,000000,7624,7909,7624,7624,2393518,0
ddam-D1,D1,20190630,000000,7251,7251,7251,7251,387281,0
ddam-D1,D1,20190701,000000,6889,7113,6889,7063,11735192,0
ddam-D1,D1,20190702,000000,7063,7251,6616,6755,6429992,0
ddam-D1,D1,20190703,000000,6984,6984,6585,6648,6656308,0
ddam-D1,D1,20190706,000000,6665,6894,6467,6506,5365793,0
ddam-D1,D1,20190707,000000,6565,6565,6269,6406,5415052,0
ddam-D1,D1,20190708,000000,6697,7032,6697,7032,3751863,0
ddam-D1,D1,20190709,000000,7313,7313,6626,7262,8822052,0
ddam-D1,D1,20190710,000000,7402,7402,6820,6868,10609470,0
ddam-D1,D1,20190713,000000,6817,6914,6672,6679,4923643,0
ddam-D1,D1,20190714,000000,6714,7012,6367,6890,3209147,0
ddam-D1,D1,20190715,000000,6964,6964,6616,6902,1701837,0
ddam-D1,D1,20190716,000000,6467,6566,6403,6403,1171941,0
ddam-D1,D1,20190717,000000,6118,6611,6118,6437,6635540,0
ddam-D1,D1,20190720,000000,6467,6467,6041,6059,3001098,0
ddam-D1,D1,20190721,000000,6268,6405,5847,6286,3659678,0
ddam-D1,D1,20190722,000000,6467,6502,6362,6502,3435397,0
ddam-D1,D1,20190723,000000,6705,6705,6166,6263,2247970,0
ddam-D1,D1,20190724,000000,6366,6366,6069,6208,1336920,0
ddam-D1,D1,20190727,000000,6335,6367,6170,6218,1910341,0
ddam-D1,D1,20190728,000000,6470,6470,6248,6367,1365382,0
ddam-D1,D1,20190729,000000,6536,6536,6218,6287,1290053,0
ddam-D1,D1,20190730,000000,6327,6337,6119,6217,1576726,0
ddam-D1,D1,20190731,000000,6153,6287,6074,6207,1907239,0
ddam-D1,D1,20190803,000000,6406,6406,6199,6312,1274856,0
ddam-D1,D1,20190804,000000,6624,6624,6389,6624,1395241,0
ddam-D1,D1,20190805,000000,6936,6936,6864,6936,1775822,0
